accept.prob price revenue
0.0000000 281996.2460   56.3992
0.0101010  45007.1708  523.0411
0.0202020  23546.0347  630.0380
0.0303030  16170.0625  710.8848
0.0404040  12532.4404  778.4269
0.0505051  10358.4062  841.3962
0.0606061   8829.6799  891.8290
0.0707071   7759.2645  940.0273
0.0808081   7207.4116  987.0447
0.0909091   6655.5587 1034.0620
0.1010101   6103.7058 1081.0794
0.1111111   5551.8529 1128.0967
0.1212121   5000.0000 1175.1141
0.1313131   4866.6667 1201.7253
0.1414141   4733.3333 1228.3364
0.1515152   4600.0000 1254.9476
0.1616162   4466.6667 1281.5587
0.1717172   4333.3333 1308.1699
0.1818182   4200.0000 1334.7811
0.1919192   4066.6667 1361.3922
0.2020202   3933.3333 1388.0034
0.2121212   3800.0000 1414.6146
0.2222222   3666.6667 1441.2257
0.2323232   3533.3333 1467.8369
0.2424242   3400.0000 1494.4480
0.2525253   3266.6667 1521.0592
0.2626263   3133.3333 1547.6704
0.2727273   3000.0000 1574.2815
0.2828283   2941.1765 1585.3185
0.2929293   2882.3529 1596.3554
0.3030303   2823.5294 1607.3923
0.3131313   2764.7059 1618.4293
0.3232323   2705.8824 1629.4662
0.3333333   2647.0588 1640.5032
0.3434343   2588.2353 1651.5401
0.3535354   2529.4118 1662.5771
0.3636364   2470.5882 1673.6140
0.3737374   2411.7647 1684.6509
0.3838384   2352.9412 1695.6879
0.3939394   2294.1176 1706.7248
0.4040404   2235.2941 1717.7618
0.4141414   2176.4706 1728.7987
0.4242424   2117.6471 1739.8356
0.4343434   2058.8235 1750.8726
0.4444444   2000.0000 1761.9095
0.4545455   1964.2857 1767.5841
0.4646465   1928.5714 1773.2587
0.4747475   1892.8571 1778.9333
0.4848485   1857.1429 1784.6079
0.4949495   1821.4286 1790.2825
0.5050505   1785.7143 1795.9571
0.5151515   1750.0000 1801.6317
0.5252525   1714.2857 1807.3063
0.5353535   1678.5714 1812.9809
0.5454545   1642.8571 1818.6555
0.5555556   1607.1429 1824.3302
0.5656566   1571.4286 1830.0048
0.5757576   1535.7143 1835.6794
0.5858586   1500.0000 1841.3540
0.5959596   1468.7500 1845.1107
0.6060606   1437.5000 1848.8675
0.6161616   1406.2500 1852.6242
0.6262626   1375.0000 1856.3810
0.6363636   1343.7500 1860.1377
0.6464646   1312.5000 1863.8945
0.6565657   1281.2500 1867.6512
0.6666667   1250.0000 1871.4080
0.6767677   1225.0000 1873.4358
0.6868687   1200.0000 1875.4637
0.6969697   1160.0000 1876.9460
0.7070707   1120.0000 1878.4284
0.7171717   1080.0000 1879.9107
0.7272727   1040.0000 1881.3930
0.7373737   1000.0000 1882.8754
0.7474747   1000.0000 1882.8754
0.7575758    992.7376 1881.8978
0.7676768    946.9691 1876.6169
0.7777778    908.8892 1870.9529
0.7878788    870.8094 1865.2889
0.7979798    832.7295 1859.6249
0.8080808    794.6496 1853.9609
0.8181818    756.5698 1848.2969
0.8282828    718.4899 1842.6329
0.8383838    680.4101 1836.9689
0.8484848    642.3302 1831.3050
0.8585859    604.2503 1825.6410
0.8686869    566.1705 1819.9770
0.8787879    528.0906 1814.3130
0.8888889    490.0107 1808.6490
0.8989899    451.9309 1802.9850
0.9090909    413.8510 1797.3210
0.9191919    382.0636 1791.3778
0.9292929    350.2762 1785.4346
0.9393939    318.8160 1779.3352
0.9494949    287.3558 1773.2357
0.9595960    250.0000 1765.5530
0.9696970    204.7941 1755.5177
0.9797980    149.6987 1742.7070
0.9898990     94.6034 1729.8963
1.0000000      0.0000 1707.1095
